,artist,title,url,gender,division,medium,colors,dated,century,culture,description
0,"John Howard Sanden, Jay O. Light",Jay O. Light,https://www.harvardartmuseums.org/collections/object/350505,"unknown, unknown",Modern and Contemporary Art,Oil on canvas,"Grey, Brown, Grey, Brown, Grey, Grey, Red, Orange, Orange, Violet",2011,21st century,,
1,Christopher Wilmarth,Filter (for Trouble),https://www.harvardartmuseums.org/collections/object/350546,male,Modern and Contemporary Art,Mixed media on masonite with wood supports,"Brown, Brown, Grey, Green, Grey, Grey, Brown, Grey, Yellow, Brown",1963,20th century,American,
2,Christopher Wilmarth,Her Sides of Me,https://www.harvardartmuseums.org/collections/object/350547,male,Modern and Contemporary Art,Mixed media with sculpted figure,"Green, Grey, Grey, Green, Green, Grey, Grey, Green, Green",1963,20th century,American,
3,Christopher Wilmarth,When Winter on Forgotten Woods Moves Somber...,https://www.harvardartmuseums.org/collections/object/350550,male,Modern and Contemporary Art,Oil on wood panel,"Green, Green, Brown, Yellow, Brown, Grey, Orange, Grey, Grey, Grey",1981,20th century,American,
4,Shinoda Tōkō 篠田桃紅,Hymn,https://www.harvardartmuseums.org/collections/object/351701,female,Modern and Contemporary Art,Ink on fabric mounted to wood panel,,2000,21st century,Japanese,
6,Arnulf Rainer,Wings or String,https://www.harvardartmuseums.org/collections/object/352322,male,Modern and Contemporary Art,Oil on gelatin silver print,,1970,20th century,Austrian,
7,Gabriele Münter,Pink Still Life,https://www.harvardartmuseums.org/collections/object/352337,female,Modern and Contemporary Art,Oil on board,"Grey, Brown, Brown, Red, Brown, Green, Blue, Orange, Green, Green",1908-1909,20th century,German,
9,Ralston Crawford,Air War,https://www.harvardartmuseums.org/collections/object/353661,male,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Brown, Grey, Orange, Grey, Grey, Grey, Orange, Green",1944,20th century,American,
10,Paul Klee,Dried Up Cataract,https://www.harvardartmuseums.org/collections/object/353952,male,Modern and Contemporary Art,Watercolor on primed canvas,"Green, Brown, Green, Yellow, Yellow",1930,20th century,Swiss,
11,Stuart Davis,The Tug Boat,https://www.harvardartmuseums.org/collections/object/354058,male,Modern and Contemporary Art,Oil on panel,"Orange, Brown, Grey, Orange, Green, Grey, Green, Orange, Red, Grey",1922,20th century,American,
12,"Unidentified Artist, Girolamo Forabosco",The Magdalen,https://www.harvardartmuseums.org/collections/object/355850,"unknown, unknown",European and American Art,Oil on canvas,"Grey, Brown, Brown, Yellow, Brown, Green",17th century,17th century,Italian,
14,Salomon van Ruysdael,Landscape with Boats and Figures,https://www.harvardartmuseums.org/collections/object/356430,unknown,European and American Art,Oil on panel,"Grey, Brown, Brown, Yellow, Orange, Brown, Brown, Grey, Brown",c. 1635,17th century,Dutch,
15,Philips Wouwerman,Landscape with Wood Gatherers,https://www.harvardartmuseums.org/collections/object/356431,unknown,European and American Art,Oil on panel,"Brown, Green, Yellow, Green, Green, Yellow, Brown",1647-1648,17th century,Dutch,
16,Werner Heldt,Still Life at the Window,https://www.harvardartmuseums.org/collections/object/357587,male,Modern and Contemporary Art,Oil on canvas,"Grey, Green, Grey, Green, Green, Grey, Yellow, Red, Red, Green",1950,20th century,German,
17,Watanabe Shikō 渡辺始興,Landscape (right screen),https://www.harvardartmuseums.org/collections/object/357600,unknown,Asian and Mediterranean Art,"Right screen of a pair of six-fold screens; ink, color, and gold leaf on paper.","Yellow, Yellow, Yellow, Yellow, Brown, Brown, Grey, Grey",early to mid-18th century,18th century,Japanese,
18,Watanabe Shikō 渡辺始興,Landscape (left screen),https://www.harvardartmuseums.org/collections/object/357601,unknown,Asian and Mediterranean Art,"Left screen of a pair of six-fold screens; ink, color, and gold leaf on paper.","Yellow, Yellow, Red, Brown, Grey, Grey",early to mid-18th century,18th century,Japanese,
19,Emile Gilliéron or son,"Top Section of Priest King or Lily Prince (reproduction after a relief from the Palace of Knossos, Crete)",https://www.harvardartmuseums.org/collections/object/358395,unknown,Asian and Mediterranean Art,Tempera on relief plaster,"Orange, Brown, Orange, Yellow, Brown",19th-20th century,19th-20th century,Minoan,Reproduction of Minoan relief fresco on plaster
20,Julien Hudson,Portrait of a Young Woman in White,https://www.harvardartmuseums.org/collections/object/359903,male,European and American Art,Oil on canvas,"Blue, Grey, Green, Yellow, Green, Green, Green, Brown, Grey, Brown",1840,19th century,American,
21,Werner Groshans,Still Life with Skull,https://www.harvardartmuseums.org/collections/object/361264,male,Modern and Contemporary Art,Oil on canvas,,1952,20th century,American,
22,George Cope,Hanging Woodcock,https://www.harvardartmuseums.org/collections/object/362477,male,European and American Art,Oil on canvas,"Brown, Yellow, Brown, Brown, Brown, Brown, Orange, Yellow",1897,19th century,American,
24,Suzuki Kiitsu 鈴木其一,Chrysanthemum and Maple (Ninth Month from Fans of the Twelve Months),https://www.harvardartmuseums.org/collections/object/364486,male,Asian and Mediterranean Art,One of a set of twelve fans mounted on board; ink and color on paper,"Green, Brown, Brown, Yellow, Green, Red, Red, Brown, Red",1844-58,19th century,Japanese,
25,Suzuki Kiitsu 鈴木其一,Winter Chrysanthemums (Twelfth Month from Fans of the Twelve Months),https://www.harvardartmuseums.org/collections/object/364489,male,Asian and Mediterranean Art,One of a set of twelve fans mounted on board; ink and color on paper,"Brown, Orange, Brown, Brown, Yellow, Yellow, Brown",1844-58,19th century,Japanese,
26,Kano Tanyū 狩野探幽,Tan’yu shukuzu (Sketches by Tan'yu),https://www.harvardartmuseums.org/collections/object/364490,male,Asian and Mediterranean Art,Handscroll; ink and color on paper,"Brown, Brown, Brown, Yellow, Yellow, Brown, Green",17th century,17th century,Japanese,
27,Jack Bush,Woodwind,https://www.harvardartmuseums.org/collections/object/370166,unknown,Modern and Contemporary Art,Acrylic on canvas,"Green, Brown, Brown, Yellow, Green, Brown, Blue, Green, Red, Green",1976,20th century,Canadian,
28,Claude Monet,Self-Portrait,https://www.harvardartmuseums.org/collections/object/370173,male,European and American Art,Oil on canvas,"Grey, Grey, Grey, Brown, Brown, Brown, Green, Red, Grey, Grey",1867,19th century,French,
29,Gustave Courbet,Portrait of a Woman,https://www.harvardartmuseums.org/collections/object/370194,male,European and American Art,Oil on canvas,"Grey, Yellow, Brown, Brown, Brown",1859,19th century,French,
30,Kenneth Noland,Ring,https://www.harvardartmuseums.org/collections/object/370202,male,Modern and Contemporary Art,Acrylic on canvas,"Red, Orange, Brown, Brown, Brown, Red",1964,20th century,American,
31,Otto Piene,Orbit,https://www.harvardartmuseums.org/collections/object/371489,male,Modern and Contemporary Art,Oil and fire on canvas,,1993/1994/1997,20th century,German,
32,Hatta Kōyō 八田高容,Scholar’s Studio: Rakushisha no aki (Autumn at the Rakushisha),https://www.harvardartmuseums.org/collections/object/371494,unknown,Asian and Mediterranean Art,"Pair of two-panel folding screens; ink, mineral colors, gofun and gold on silk","Brown, Green, Yellow, Yellow, White, Green, Green, Grey, Grey, Grey",1925,20th century,Japanese,"This painting invites us to enter a lyrical scene: a peaceful poetic hermitage almost completely encircled by the rippling greenery in which it is nestled. The eye is led into the hermitage via the pathway at the right hand side. As one approaches the soft-focus landscape periodically resolves into crisply descriptive highlights: a round straw hat hanging by the doorway, books and a rosary set within the resident’s studio, a crescent moon-shaped decoration cut into the wood of the shutter at far left, and the russet tips of a smattering of autumnal leaves in the garden. A slim tree trunk speckled with verdigris lichens rises up just right of center in the left screen; its elliptical leathery leaves arch down over the roof of the studio in the top center of the right screen, almost puncturing the fourth wall. The leaves that entreat us to enter are distinctive, identifiable as those of the persimmon and thus a key to the identity of the tranquil location depicted: we have come to the “Rakushisha” 落柿舎 or Hermitage of Fallen Persimmons."
33,Hatta Kōyō 八田高容,Scholar’s Studio:  Rakushisha no aki (Autumn at the Rakushisha) (right screen),https://www.harvardartmuseums.org/collections/object/371495,unknown,Asian and Mediterranean Art,"Right screen of a pair of two-panel folding screens; ink, mineral colors, gofun and gold on silk",,1925,20th century,Japanese,
34,Hatta Kōyō 八田高容,Scholar’s Studio:  Rakushisha no aki (Autumn at the Rakushisha) (left screen),https://www.harvardartmuseums.org/collections/object/371496,unknown,Asian and Mediterranean Art,"Left screen of a pair of two-panel folding screens; ink, mineral colors, gofun and gold on silk",,1925,20th century,Japanese,
35,Otto Piene,Heat Lightning,https://www.harvardartmuseums.org/collections/object/371700,male,Modern and Contemporary Art,Oil and fire on canvas,,2001,21st century,German,
36,Hong Chun Zhang 張春紅,"Rapunzel, from the Covid 19 series",https://www.harvardartmuseums.org/collections/object/372648,unknown,Asian and Mediterranean Art,Chinese ink and color on Xuan paper,"Grey, Grey, Grey, Green, Grey, Green, Green, Grey",2020,21st century,Chinese,"Color painting of a tall stone tower with crenelations at the top and a window at the top. Long black hair spills out of the window and winds around the tower, completely concealing the base."
39,Katherine Sherwood,Fidelity,https://www.harvardartmuseums.org/collections/object/373569,unknown,Modern and Contemporary Art,"Oil, acrylic, and pigmented encaustic with printed paper collage elements on canvas",,2000,21st century,American,
41,Andrés Solano,Portrait of Ana Josepha de Castañeda y de la Requere,https://www.harvardartmuseums.org/collections/object/375904,unknown,European and American Art,Oil on canvas,"White, Brown, Grey, Yellow, Green, Brown, Brown, Brown, Brown, Grey",1776,18th century,Spanish Colonial,
45,Diego Antonio de Landaeta,Portrait of Petronila Méndez,https://www.harvardartmuseums.org/collections/object/375919,unknown,European and American Art,Oil on panel,"White, Brown, Yellow, Yellow, Blue, Yellow, Blue, Grey, Grey, Brown",1763,18th century,,
46,"Ludwig Nieper, Selma Knauth Bowditch",Selma Knauth Bowditch (1853-1918),https://www.harvardartmuseums.org/collections/object/4655,"unknown, unknown",European and American Art,Oil on canvas,,1871,19th century,German,
47,"Patricia Watwood, Ida B. Wells (Barnett)",Ida B. Wells (1862-1931),https://www.harvardartmuseums.org/collections/object/4728,"female, unknown",Modern and Contemporary Art,Oil on canvas,"Grey, Orange, Orange, Grey, Red, Brown, Brown, Red, Grey, Orange",2006,21st century,American,
48,Lee Chun-Yi (Li Junyi) 李君毅,"A Thousand Peaks and Myriad Ravines, from the series ""Sacrifice""",https://www.harvardartmuseums.org/collections/object/5145,male,Asian and Mediterranean Art,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""","Grey, White, Grey, Grey, Grey, Grey, Grey, Grey, Grey",2006,21st century,Chinese,
49,Lee Chun-Yi (Li Junyi) 李君毅,"Pines on Slender Peaks, from the series ""Sacrifice""",https://www.harvardartmuseums.org/collections/object/5219,male,Asian and Mediterranean Art,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""","Grey, Grey, Grey, White, Grey, Grey, Grey, Grey, Grey",2006,21st century,Chinese,
50,Lee Chun-Yi (Li Junyi) 李君毅,"Mountain Bluff, Cascading Waterfall, from the series ""Sacrifice""",https://www.harvardartmuseums.org/collections/object/5222,male,Asian and Mediterranean Art,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 90""","Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey",1990,20th century,Chinese,
51,Lee Chun-Yi (Li Junyi) 李君毅,"Mountain Dwelling, Majestic View, from the series ""Sacrifice""",https://www.harvardartmuseums.org/collections/object/5500,male,Asian and Mediterranean Art,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""","Grey, Grey, Grey, Grey, White, Grey, Grey, Grey, Grey",2006,21st century,Chinese,
52,Lee Chun-Yi (Li Junyi) 李君毅,"Myriad Peaks, from the series ""Sacrifice""",https://www.harvardartmuseums.org/collections/object/5501,male,Asian and Mediterranean Art,"One from a set of twenty-four album leaves; ink on paper; with signature in clerical script (lishu) reading ""Li Junyi 06""","Grey, Grey, White, Grey, Grey, Grey, Grey, Grey, Grey",2006,21st century,Chinese,
53,Yi Ha-ŭng (also known as Taewŏn’gun),Orchids and Rocks,https://www.harvardartmuseums.org/collections/object/5649,male,Asian and Mediterranean Art,"One of a set of four hanging scrolls; ink on silk; with one square, red, intaglio seal of the artist reading ""Kŭng Chŏng Ŭng Sŏn Pul Ch'a Saeng Yu Cha Son""","Brown, Yellow, Yellow, Brown, Red, Brown",1896 - 1898,19th century,Korean,
54,Yi Ha-ŭng (also known as Taewŏn’gun),Orchids and Rocks,https://www.harvardartmuseums.org/collections/object/6260,male,Asian and Mediterranean Art,"Set of four hanging scrolls; ink on silk; with signature reading ""P'al-ship no-sŏk-in chak"" on the scroll at the far left; with one large seal of the artist on each scroll and with two additional seals of the artist following the signature on the scroll at the far left","Brown, Yellow, White, Grey, Yellow, Brown, Yellow",1896 - 1898,19th century,Korean,
67,William Bradford,Sunset,https://www.harvardartmuseums.org/collections/object/20901,male,European and American Art,Oil on paper mounted to cardboard,"Orange, Brown, Yellow, Yellow, Brown, Grey, Brown, Orange, Brown, Yellow",c. 1865-1870,19th century,American,
68,William Carrigan,"Sketch, Falls Village, Conn.",https://www.harvardartmuseums.org/collections/object/20907,male,Modern and Contemporary Art,Oil on cardboard,,1907,20th century,American,
69,"Mark Schroder, Karel Liem, Hetty Liem",Karel (b. 1935) and Hetty Liem (b. 1932),https://www.harvardartmuseums.org/collections/object/30758,"male, unknown, unknown",Modern and Contemporary Art,Oil on canvas,"Blue, Grey, Grey, Red, Brown, Grey, Grey, Yellow, Brown, Green",1997,21st century,American,
70,"Will Cady Perkins, Nathan Marsh Pusey, John Lavalle","Nathan Pusey (1907-2001), after John Lavalle",https://www.harvardartmuseums.org/collections/object/30850,"unknown, unknown, male",Modern and Contemporary Art,Oil on canvas,"Grey, Violet, Brown, Yellow, Brown, Brown, Yellow, Brown, Brown, Red",1994,20th century,American,"The original portrait by John Lavalle is in the Harvard Club, New York."
71,Robert Feke,Ralph Inman (1713-1788),https://www.harvardartmuseums.org/collections/object/31171,unknown,European and American Art,Oil on canvas,"Brown, Brown, Grey, Grey, Black, Brown, Green, Green, Green, Grey",1748,18th century,American,
72,Qiu Ying 仇英,Page from an album of Rice and Silk Culture,https://www.harvardartmuseums.org/collections/object/47769,male,Asian and Mediterranean Art,Album of fourteen leaves; ink and color on silk,"Brown, Yellow, Yellow","Qing dynasty, 1644-1911",17th century,Chinese,
73,Qiu Ying 仇英,Page from an album of Rice and Silk Culture,https://www.harvardartmuseums.org/collections/object/47969,male,Asian and Mediterranean Art,Album of fourteen leaves; ink and color on silk,"Brown, Brown, Yellow, Green, Green","Qing dynasty, 1644-1911",17th century,Chinese,
79,Qiu Ying 仇英,Page from an album of Rice and Silk Culture,https://www.harvardartmuseums.org/collections/object/48242,male,Asian and Mediterranean Art,Album of fourteen leaves; ink and color on silk,"Brown, Yellow, Yellow, Brown","Qing dynasty, 1644-1911",17th century,Chinese,
100,Kano Yasunobu,Eight Horses,https://www.harvardartmuseums.org/collections/object/199265,male,Asian and Mediterranean Art,"Album leaf; ink, color, and gold on silk","Yellow, Yellow, Brown, Brown, Brown, Green, Yellow, Green, Green",c. 1683,17th century,Japanese,
101,Maruyama Ōkyo 円山応挙,Large Banana Leaf,https://www.harvardartmuseums.org/collections/object/199493,male,Asian and Mediterranean Art,One (the right) of a pair of fusuma (sliding door) paintings mounted as two-panel folding screens; ink on paper,"Brown, Yellow, Brown, Yellow, Brown, Black, Grey, Grey, Grey, Grey",18th-19th century,18th-19th century,Japanese,
102,Kano Tsunenobu,"Rabbit, Wave and Full Moon",https://www.harvardartmuseums.org/collections/object/199500,male,Asian and Mediterranean Art,"Album leaf; ink, color, and gold on silk","Yellow, Yellow, Yellow, Yellow, Green, Yellow, Brown, Brown, Grey",c. 1683,17th century,Japanese,
103,Kano Yasunobu,Black Birds and Tree Chickens in Pond Amid Lotus and Water Plantain,https://www.harvardartmuseums.org/collections/object/199503,male,Asian and Mediterranean Art,"Album leaf; ink, color, and gold on silk","Yellow, Green, Green, Green, Yellow, Grey, Grey, Green, Orange, Red",c. 1683,17th-16th century BCE,Japanese,
104,Kano Dōun,Red and Black Carp Amid Reeds,https://www.harvardartmuseums.org/collections/object/199537,male,Asian and Mediterranean Art,"Album leaf; ink, color, and gold on silk","Yellow, Yellow, Yellow, Green, Green, Brown, Orange, Red",c. 1683,17th century,Japanese,
105,Kano Dōun,Manchurian Great Tit Under White-and-Pink Tiger Lily,https://www.harvardartmuseums.org/collections/object/199538,male,Asian and Mediterranean Art,"Album leaf; ink, color, and gold on silk","Yellow, Yellow, Green, Yellow, Green, Orange, Orange, Yellow, Orange, Brown",c. 1683,17th century,Japanese,
106,Kano Tansetsu,White Tree Hibiscus with Black Butterfly and Bees,https://www.harvardartmuseums.org/collections/object/199566,male,Asian and Mediterranean Art,"Album leaf; ink, color, and gold on silk","Yellow, Yellow, Green, Yellow, Green, Green, Green, Grey, Grey, Red",c. 1683,17th century,Japanese,
107,Qian Huian 錢慧安,Su Shi (Su Dongpo) Admiring Ink Stones,https://www.harvardartmuseums.org/collections/object/199594,unknown,Asian and Mediterranean Art,One leaf from an album of nine leaves; ink and light colors on paper,"Grey, Grey, Brown, Grey, Grey, Grey, Red",late 19th century,19th century,Chinese,
108,Chŏng Yusŭng (also known as Chui-ŭn),The Recluse Lin Bu (967-1028) Releasing Cranes at Mount Gu,https://www.harvardartmuseums.org/collections/object/199600,unknown,Asian and Mediterranean Art,"First panel from a six-panel folding screen; ink on paper; the painting with signature of the artist reading ""Ch'ui-ŭn"" (""Drunken Hermit"")","Brown, Orange, Brown, Brown, Yellow, Brown",late 17th century,17th century,Korean,
109,Qian Huian 錢慧安,Woman with Basket by a Bridge,https://www.harvardartmuseums.org/collections/object/199695,unknown,Asian and Mediterranean Art,One leaf from an album of nine leaves; ink and light colors on paper,"Green, Orange, Grey, Blue, Red, Orange",late 19th century,19th century,Chinese,
110,Kobai,Autumn Landscape,https://www.harvardartmuseums.org/collections/object/199864,unknown,Asian and Mediterranean Art,"Hanging scroll; ink on silk, with signature of the artist reading""Kobai (?)"", and with three reda seals of the artist","White, Grey, Grey, Grey, Grey, Grey, Grey","Probably Meiji period, late 19th to early 20th century",19th-20th century,Japanese,
112,Kōtō Naiji,"Illustrated Poems from the ""Tale of Genji"" (Genji monogatari), Akashi (Chapter 13)",https://www.harvardartmuseums.org/collections/object/199890,unknown,Asian and Mediterranean Art,Handscroll; ink on paper,"Orange, Brown, Brown, Brown",14th-16th century,14th-16th century,Japanese,
115,Tosa Mitsunobu,"The Plum Tree Branch (Umegae), Illustration to Chapter 32 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/200001,male,Asian and Mediterranean Art,"The thirty-second of a series of 54 painted album leaves mounted in an album with calligraphic excerpts; ink, color, and gold on paper","Yellow, Yellow, Grey, Brown, Green, Brown, Grey, Brown, Grey","Muromachi period, datable to 1509-1510",16th century,Japanese,
116,Bunsei,Scholar on a Bridge in a Landscape,https://www.harvardartmuseums.org/collections/object/200094,male,Asian and Mediterranean Art,"Hanging scroll; ink and light color on paper, with square, red, relief seal reading ""Bunsei""","Grey, Grey, Grey, White, Grey, Grey, Grey, Grey, Grey, Grey",18th century,18th century,Japanese,
117,Tosa Mitsunobu,"At the Pass (Sekiya), Illustration to Chapter 16 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/200161,male,Asian and Mediterranean Art,"The sixteenth of a series of 54 painted album leaves mounted in an album with calligraphic excerpts; ink, color, and gold on paper","Yellow, Green, Brown, Yellow, Green, Grey, Grey, Green, Brown, Green","Muromachi period, datable to 1509-1510",16th century,Japanese,
118,Tosa Mitsunobu,"The Maidens (Otome), Illustration to Chapter 21 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/200177,male,Asian and Mediterranean Art,"The twenty-first of a series of 54 painted album leaves mounted in an album with calligraphic excerpts; ink, color, and gold on paper","Brown, Green, Green, Yellow, Yellow, Blue, Brown, Green, Grey, Green","Muromachi period, datable to 1509-1510",16th century,Japanese,
119,Tosa Mitsunobu,"The Fireflies (Hotaru), Illustration to Chapter 25 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/200188,male,Asian and Mediterranean Art,"The twenty-fifth of a series of 54 painted album leaves mounted in an album with calligraphic excerpts; ink, color, and gold on paper","Yellow, Grey, Green, Brown, Yellow, Green, Orange, Grey, Grey","Muromachi period, datable to 1509-1510",16th century,Japanese,
120,Tosa Mitsunobu,"The Handsome Pillar (Makibashira), Illustration to Chapter 31 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/200231,male,Asian and Mediterranean Art,"The thirty-first of a series of 54 painted album leaves mounted in an album with calligraphic excerpts; ink, color, and gold on paper","Green, Yellow, Green, Grey, Yellow, Brown, Orange, Grey, Grey, Brown","Muromachi period, datable to 1509-1510",16th century,Japanese,
121,Tosa Mitsunobu,"The Mayfly (Kagerō), Illustration to Chapter 52 of the Tale of Genji (Genji monogatari)",https://www.harvardartmuseums.org/collections/object/200253,male,Asian and Mediterranean Art,"(A REPLACEMENT:) The fifty-second of a series of 54 painted album leaves mounted in an album with calligraphic excerpts; ink, color, and gold on paper","Brown, Yellow, Green, Grey, Grey, Grey, Grey, Grey, Grey, Orange",16th century,16th century,Japanese,
122,Tosa Mitsuyoshi,"Illustration from the ""Tale of Genji"" (Genji monogatari): Hatsune (chapter 23)",https://www.harvardartmuseums.org/collections/object/200288,male,Asian and Mediterranean Art,Album leaf: one of two (originally from a larger set),"Grey, Grey, Grey, Grey, Grey, White, Grey, Black, Grey","Early Edo period, circa 1615",17th century,Japanese,
123,Hōzan Tankai,"Daizuigu Bosatsu (Mahapratisara)
",https://www.harvardartmuseums.org/collections/object/200412,unknown,Asian and Mediterranean Art,"Hanging scroll; ink, color, and gold on silk","Yellow, Brown, Brown, Brown, Brown, Orange",1708,18th century,Japanese,
124,"Yi Ching Yi Jing, Kim Myŏngkuk Gim Myeong-guk, Kim Che Gim Je",Early Spring Landscape with Figures Walking on a Mountain Path to Visit a Scholar in a Lakeside Pavilion,https://www.harvardartmuseums.org/collections/object/200507,"unknown, unknown, unknown",Asian and Mediterranean Art,Album leaf; ink and light colors on silk,"Brown, Brown, Yellow, Green, Green",first half 17th century,17th century,Korean,
125,"Kim Che Gim Je, Yi Ching Yi Jing",Two Birds on a Branch of Bamboo,https://www.harvardartmuseums.org/collections/object/200945,"unknown, unknown",Asian and Mediterranean Art,Album leaf; ink and slight color on silk,"Brown, Brown, Red, Yellow, Brown, Green",17th-early 18th century,17th-18th century,Korean,
126,Yi Tŏg-ik,Two Manchurian Cranes amidst a Lakeside Stand of Mist-Enshrouded Bamboo,https://www.harvardartmuseums.org/collections/object/201009,unknown,Asian and Mediterranean Art,Album leaf; ink and light colors on silk,"Brown, Green, Brown, Green, Brown, Yellow, Yellow, Green, Green, Orange",first half 18th century,18th century,Korean,
127,Cho Sok Jo Sok,Wagtail on a Branch,https://www.harvardartmuseums.org/collections/object/201047,unknown,Asian and Mediterranean Art,Album leaf; ink on paper,"Brown, Yellow, Brown, Yellow, Brown",mid 17th century,17th century,Korean,
128,Kawasaki Shōko,Cucumber (Kyūri),https://www.harvardartmuseums.org/collections/object/201053,male,Asian and Mediterranean Art,Album leaf; ink and light color on paper,"Green, Grey, Grey, Grey, Grey, Grey, Grey, Green, Grey",20th century,20th century,Japanese,
129,Lan Ying 藍瑛,Landscape with Fisherman and Waterfall,https://www.harvardartmuseums.org/collections/object/201099,unknown,Asian and Mediterranean Art,"Album leaf; ink and light colors on paper and with signature reading ""Jiesou Lan Ying""","Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",mid 17th century,17th century,Chinese,
130,Du Jin 杜堇,One of Four Landscapes: Thatched Cottages in the Shade of Pines,https://www.harvardartmuseums.org/collections/object/201243,unknown,Asian and Mediterranean Art,One of four paintings mounted as a handscroll; ink and light color on paper,"Grey, Grey, Grey, Grey, White, Black, Grey, Grey",1498,15th century,Chinese,
131,Kano Chikanobu 狩野周信,Susuki Grass and Cricket,https://www.harvardartmuseums.org/collections/object/201308,male,Asian and Mediterranean Art,Hanging scroll; ink and light color on silk,"Grey, Grey, Grey, Grey, Black, Grey, White",18th-19th century,18th-19th century,Japanese,
132,Kawasaki Shōko,Thistle,https://www.harvardartmuseums.org/collections/object/201413,male,Asian and Mediterranean Art,Album leaf; ink on paper,"Green, Green, Green, Green, Grey, Green, Grey, Grey, Grey, Brown",20th century,20th century,Japanese,
133,Kawasaki Shōko,Mizuhiki Grasses,https://www.harvardartmuseums.org/collections/object/201429,male,Asian and Mediterranean Art,Album leaf; ink and light color on paper,"Orange, Green, Green, Yellow, Green, Green, Orange, Orange, Brown, Green",20th century,20th century,Japanese,
134,Kawasaki Shōko,Pumpkin (Kabocha),https://www.harvardartmuseums.org/collections/object/201430,male,Asian and Mediterranean Art,Album leaf; ink on paper,"Grey, Grey, White, Grey, Grey, Grey, Grey, Grey, Grey, Grey",20th century,20th century,Japanese,
135,Zhang Xiong 張熊,Lotus Blossom (One of Twelve Album Leaves),https://www.harvardartmuseums.org/collections/object/201447,male,Asian and Mediterranean Art,One leaf from an album of eleven (originally twelve) leaves; ink and color on paper; with signature of the artist reading 'Zixiang Zhang Xiong',"Green, Orange, Green, Green, Green, Grey, Orange, Grey, Grey, Red",1859,19th century,Chinese,
136,Zhang Xiong 張熊,Iris and Pinks (One of Twelve Album Leaves),https://www.harvardartmuseums.org/collections/object/201449,male,Asian and Mediterranean Art,One leaf from an album of eleven (originally twelve) leaves; ink and color on paper; with signature of the artist reading 'Zixiang Zhang Xiong',"Green, Green, Green, Green, Blue, Grey, Grey, Red, Red, Grey",1859,19th century,Chinese,
138,Dai Mingyue 戴明說,BAMBOO AND ROCK,https://www.harvardartmuseums.org/collections/object/201705,unknown,Asian and Mediterranean Art,Handscroll; ink on paper,"Red, Green, Green, Grey, Grey, Green, Grey, Brown",1660,,Chinese,
139,Shinzan,Avalokitesvara (Kannon Bosatsu) from the Paradise of Amitâbha Buddha (Amida Nyorai); A painted copy of one detail from the Hōryū-ji Kondō murals,https://www.harvardartmuseums.org/collections/object/201815,unknown,Asian and Mediterranean Art,Hanging scroll; ink and color on paper,"Red, Brown, Brown, Grey, Brown, Grey, Red, Red","Taishō period, datable to 1923",20th century,Japanese,
140,Oda Kaisen,Go Game in the Pine Pavilion,https://www.harvardartmuseums.org/collections/object/201899,male,Asian and Mediterranean Art,One of two hanging scrolls (left); ink and light color on paper,"Grey, Grey, Grey, Grey, Grey, Grey, Black, White",19th-20th century,19th-20th century,Japanese,
141,Yuan Yao 袁燿,Rustic Lodge Under Leaning Trees; Traveler in Frosty Moonlight;  Leaf 5 from an Album of Seven Paintings,https://www.harvardartmuseums.org/collections/object/201931,male,Asian and Mediterranean Art,Album leaf; ink and color on silk,"Grey, Grey, White, Grey, Black, Grey","c. 1736-1795, Qianlong period",18th century,Chinese,
142,Ogata Kōrin 尾形光琳,Willow in Snow,https://www.harvardartmuseums.org/collections/object/201935,male,Asian and Mediterranean Art,"Fan painting mounted as a hanging scroll; ink, color and gold on paper","Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White, Grey","Mid Edo period, early 18th century",18th century,Japanese,
143,Isshi Bunshu,Chestnut Branch,https://www.harvardartmuseums.org/collections/object/202083,male,Asian and Mediterranean Art,Hanging scroll; ink on paper,"Grey, White, Black, Grey, Grey","Early Edo period, second quarter 17th century",17th century,Japanese,
146,Shangguan Zhou 上官周,Clearing in the Mountains after Snow,https://www.harvardartmuseums.org/collections/object/202114,unknown,Asian and Mediterranean Art,Album leaf; ink and slight color on paper,"Grey, Grey, Grey, Grey, Grey, Grey, Black, Grey, Grey, White",first half 18th century,18th century,Chinese,
