,artist,title,url,gender,division,medium,colors,dated,century,culture,description
3259,Kanji Nakamura,Self-Portrait,https://www.harvardartmuseums.org/collections/object/231305,male,Modern and Contemporary Art,Oil on canvas,"Yellow, Grey, Yellow, Grey, Grey, Green, Grey, Grey, Grey, Yellow",19th-20th century,19th-20th century,American,
3260,Kanji Nakamura,The Old Lyman House at Waltham,https://www.harvardartmuseums.org/collections/object/231308,male,Modern and Contemporary Art,Oil on canvasboard,"Green, Green, Brown, Red, Red, Yellow, Grey, Violet, Green, Green",19th-20th century,19th-20th century,American,
3261,"Kanji Nakamura, Jan Vermeer van Haarlem the Elder","Portrait of a Young Woman in a Red Hat, after Vermeer",https://www.harvardartmuseums.org/collections/object/231315,"male, unknown",Modern and Contemporary Art,Oil on panel,"Brown, Green, Green, Orange, Green, Brown, Yellow, Grey, Yellow, Black",19th-20th century,19th-20th century,American,"The original by Vermeer is in the National Gallery, Washington DC."
3262,Eugene Higgins,Sibyl,https://www.harvardartmuseums.org/collections/object/231330,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Black",19th-20th century,19th-20th century,American,
3263,Merton Clivette,Still Life with Bird  verso:  Sketch of a Woman,https://www.harvardartmuseums.org/collections/object/231332,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",19th-20th century,19th-20th century,American,
3264,Frederic Millet,Ellen Brainerd Pike (Mrs. Robert Gordon Pike) (1823-1891),https://www.harvardartmuseums.org/collections/object/231342,unknown,European and American Art,Watercolor on ivory,"Grey, Grey, Grey, Grey, Grey, Grey, White, Grey, Grey, Grey",1853,19th century,French,
3265,Denman Waldo Ross,Giovanni Bertoja,https://www.harvardartmuseums.org/collections/object/231362,male,European and American Art,Oil on unstretched canvas with cardboard behind,"Grey, Brown, Red, Orange, Brown, Orange, Violet, Grey, Grey, Brown",1897,19th century,American,
3266,Denman Waldo Ross,Erik H. Gould,https://www.harvardartmuseums.org/collections/object/231365,male,European and American Art,Oil on canvas,"Violet, Violet, Violet, Orange, Grey, Red, Brown, Grey, Brown, White",19th-20th century,19th-20th century,American,
3267,Albert Debray,Shipwreck on a Rocky Coast,https://www.harvardartmuseums.org/collections/object/231414,unknown,European and American Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, White",1676,17th century,Dutch,
3268,Moise Kisling,Self-Portrait,https://www.harvardartmuseums.org/collections/object/231427,male,Modern and Contemporary Art,Oil on canvas,"Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey, Grey",c. 1911-c. 1920,20th century,French,
