,artist,title,data_source,url
4659,Elsie de Wolfe,Sofa Table,ISG,https://www.gardnermuseum.org/experience/collection/11701#object-details
4660,Gentile da Fabriano,Virgin and Child before a Rose Hedge,ISG,https://www.gardnermuseum.org/experience/collection/11710#object-details
4661,"Italian, Rome",Chair (Sedia) Painted with Figures,ISG,https://www.gardnermuseum.org/experience/collection/11711#object-details
4662,Lorenzo di Credi,A Boy in a Scarlet Cap,ISG,https://www.gardnermuseum.org/experience/collection/11716#object-details
4663,Piero della Francesca,Hercules,ISG,https://www.gardnermuseum.org/experience/collection/11720#object-details
4664,Japanese,Roof Tile: Dove,ISG,https://www.gardnermuseum.org/experience/collection/11723#object-details
4665,Cosmè Tura,The Circumcision,ISG,https://www.gardnermuseum.org/experience/collection/11725#object-details
4666,Cima da Conegliano,Virgin and Child before a Curtained Landscape,ISG,https://www.gardnermuseum.org/experience/collection/11733#object-details
4667,Giovanni Maria Falconetto,Cassone Front: Ancient Procession and Battle,ISG,https://www.gardnermuseum.org/experience/collection/11734#object-details
4668,"Italian, Rome",Window Seat or Upholstered Bench (Divano a panchetta),ISG,https://www.gardnermuseum.org/experience/collection/11737#object-details
4669,"Italian, Venice",The Adoration of the Statue of Nebuchadnezzar,ISG,https://www.gardnermuseum.org/experience/collection/11743#object-details
4670,Francesco Pesellino,Virgin and Child with a Swallow,ISG,https://www.gardnermuseum.org/experience/collection/11745#object-details
4671,"Italian, Urbino",Plate: The Nativity,ISG,https://www.gardnermuseum.org/experience/collection/11761#object-details
4672,Raphael,Lamentation over the Dead Christ,ISG,https://www.gardnermuseum.org/experience/collection/11774#object-details
4673,Raphael,Tommaso Inghirami,ISG,https://www.gardnermuseum.org/experience/collection/11776#object-details
4674,Francesco Francia,Virgin and Child on a Parapet with a Goldfinch,ISG,https://www.gardnermuseum.org/experience/collection/11780#object-details
4675,Etruscan,Cinerarium or Grave Altar,ISG,https://www.gardnermuseum.org/experience/collection/11783#object-details
4676,Jacopo Mosca Cavelli,Guitar (Chitarra Battente),ISG,https://www.gardnermuseum.org/experience/collection/11789#object-details
4677,"Italian, Venice",Corner Console (Console ad angolo),ISG,https://www.gardnermuseum.org/experience/collection/11793#object-details
4678,Giovanni Bellini,The Virgin with the Sleeping Child on a Parapet,ISG,https://www.gardnermuseum.org/experience/collection/11794#object-details
4679,"Greek, Myrina",Seated Woman,ISG,https://www.gardnermuseum.org/experience/collection/11801#object-details
4680,"Italian, Northern Italy",Cassone with Three Painted Scenes,ISG,https://www.gardnermuseum.org/experience/collection/11804#object-details
4681,Italian,Cope with Pomegranate Motifs and Fringe,ISG,https://www.gardnermuseum.org/experience/collection/11805#object-details
4682,Roman,Fragment of a Fresco,ISG,https://www.gardnermuseum.org/experience/collection/11809#object-details
4683,Roman,Bowl with Lions,ISG,https://www.gardnermuseum.org/experience/collection/11812#object-details
4684,Italian,Cabinet and Stand (Stipo con supporto a tavolo),ISG,https://www.gardnermuseum.org/experience/collection/11819#object-details
4685,"Italian, Rome",Column (Colonna),ISG,https://www.gardnermuseum.org/experience/collection/11821#object-details
4686,Roman,Small Head and Torso of a Silenus with Wineskin,ISG,https://www.gardnermuseum.org/experience/collection/11829#object-details
4687,Japanese,The Vinegar Tasters,ISG,https://www.gardnermuseum.org/experience/collection/11833#object-details
4688,"Spanish, Catalonian, Catalonia",Torchère,ISG,https://www.gardnermuseum.org/experience/collection/11851#object-details
4689,Kano Tsunenobu,Scenes from the Tale of Genji,ISG,https://www.gardnermuseum.org/experience/collection/11857#object-details
