,objectid,artist,title,url,stolen,painting
245,10993,Dennis Miller Bunker,A Torso,https://www.gardnermuseum.org/experience/collection/10993#object-details,False,True
246,10994,Italian,Cassone Front: Two Portraits with Arms of the Orsini Family,https://www.gardnermuseum.org/experience/collection/10994#object-details,False,True
247,10995,"Italian, Siena",Cassone: A Procession,https://www.gardnermuseum.org/experience/collection/10995#object-details,False,True
249,10997,after                              Robert Fulton,Mary,https://www.gardnermuseum.org/experience/collection/10997#object-details,False,True
251,11000,after                              Richard Westall,Mary,https://www.gardnermuseum.org/experience/collection/11000#object-details,False,True
256,11006,"Italian, Northern Italy",Chest of Drawers (Cassettone),https://www.gardnermuseum.org/experience/collection/11006#object-details,False,True
261,11011,Pieter de Jode II,Isabella of Portugal,https://www.gardnermuseum.org/experience/collection/11011#object-details,False,True
266,11017,Chinese,Buddha Calling the Earth to Witness,https://www.gardnermuseum.org/experience/collection/11017#object-details,False,True
269,11023,Chinese,Box,https://www.gardnermuseum.org/experience/collection/11023#object-details,False,True
270,11024,Chinese,Teapot,https://www.gardnermuseum.org/experience/collection/11024#object-details,False,True
273,11029,Copy after                              Lowestoft Porcelain Factory,Teapot,https://www.gardnermuseum.org/experience/collection/11029#object-details,False,True
274,11031,Swan Group,Pyxis,https://www.gardnermuseum.org/experience/collection/11031#object-details,False,True
275,11032,Chamberlain & Co.,Plate,https://www.gardnermuseum.org/experience/collection/11032#object-details,False,True
276,11033,Muhammad,Bowl,https://www.gardnermuseum.org/experience/collection/11033#object-details,False,True
277,11034,Chinese,Beaker,https://www.gardnermuseum.org/experience/collection/11034#object-details,False,True
278,11035,"Turkish, Kutahya",Pitcher,https://www.gardnermuseum.org/experience/collection/11035#object-details,False,True
279,11037,"Chinese, Jingdezhen",Bowl,https://www.gardnermuseum.org/experience/collection/11037#object-details,False,True
280,11039,Chinese,Box,https://www.gardnermuseum.org/experience/collection/11039#object-details,False,True
293,11060,English,Chair-Back Settee,https://www.gardnermuseum.org/experience/collection/11060#object-details,False,True
303,11075,French,Inkstand,https://www.gardnermuseum.org/experience/collection/11075#object-details,False,True
308,11080,Indian,Stand,https://www.gardnermuseum.org/experience/collection/11080#object-details,False,True
309,11081,"Italian, Central Italy",Vitrine (Teca),https://www.gardnermuseum.org/experience/collection/11081#object-details,False,True
310,11082,Japanese,Vase,https://www.gardnermuseum.org/experience/collection/11082#object-details,False,True
311,11083,"Italian, Venice",Side Table (Tavolo da Muro),https://www.gardnermuseum.org/experience/collection/11083#object-details,False,True
315,11088,"Italian, Central Italy",Vitrine (Teca),https://www.gardnermuseum.org/experience/collection/11088#object-details,False,True
316,11089,Italian,Crozier,https://www.gardnermuseum.org/experience/collection/11089#object-details,False,True
320,11094,"Italian, Veneto",Armchair (Poltrona),https://www.gardnermuseum.org/experience/collection/11094#object-details,False,True
321,11096,Korean,Vase,https://www.gardnermuseum.org/experience/collection/11096#object-details,False,True
357,11141,"Italian, Venice",Medallion: Eagle Ensnaring a Hare,https://www.gardnermuseum.org/experience/collection/11141#object-details,False,True
433,11230,Roman,Torso and Right Leg of Dionysus,https://www.gardnermuseum.org/experience/collection/11230#object-details,False,True
